name,jieshao
华南师范大学计算机学院导师介绍：单志龙,"
　　单志龙，男，博士，教授，硕士生导师，首批珠江科技新星，广东省“千百十”人才工程第四批校级培养对象，华南师范大学计算机学院副院长。 ,
　　2004年毕业于华南理工大学电子与信息学院，获博士学位。2004年7月到华南师范大学计算机学院工作，2009年晋升计算机专业教授，主要从事物联网、无线传感器网络、计算机与通信网、无线通信网络等研究。作为联合培养的博士，2003年9月到香港中文大学进行了为期半年的相关课题合作研究。2006年2月作为访问学者，再次前往香港中文大学讯息工程学系进行为期半年的访问。 ,
　　作为项目主持人主持了国家自然科学基金、广东省自然科学基金、广东省产学研项目、广州市科技计划项目和广东省普通高校无线通信网络与终端重点实验室开放课题等。作为主要参与人参加国家自然科学基金项目2项，广东省自然科学基金1项，完成了多项横向应用项目的开发。此外还主持多项华南师范大学教学改革项目。 ,
　　发表论文30多篇，包括IEEETrans.SignalProcessing、ArsCombinatoria、IEEEGlobecom、科学通报、通信学报、电子与信息学报、应用数学学报等国内外权威刊物。 ,
　　目前主要承担“信息论与编码”、“通信系统原理”和“通信网概论”等研究生和本科生课程教学。 ,
　　 ,
　　主要荣誉 ,
　　[1] 2011.12首批珠江科技新星 ,
　　[2] 2006.12广东省第四批“千百十”校级培养对象 ,
　　代表论文 ,
　　[1] ZhilongShanandTak-ShingP.Yum.AconjugateAugmentedApproachtoDirectionofArrivalEstimation.IEEETrans.SignalProcessing,2005,53(11):4104-4109;(SCI-977YH,EI) ,
　　[2] 单志龙,刘学斌,韦岗.一种基于共轭矩阵的阵列扩展技术.通信学报,2004(11) ,
　　[3] 单志龙，柳柏濂.(k+1)-秩匀称线性无圈超图的计数公式.科学通报，2000，45(16)，1705-1709 ,
　　代表项目 ,
　　[1] 国家自然科学基金、NO.61102065、2012.01-2014.12.基于角度和超图的无线传感器网络节点位置定位管理研究单志龙（主持）.2012.01 ,
　　[2] 广东省教育部产学研结合项目、NO.2011B090400520、2012.01－2013.12.基于无线传感器网络的市内交通枢纽监控系统单志龙（主持）.2012.01 ,
　　[3] 广州市科技计划项目、NO.12C42091555、2012.01－2013.12.无线传感器网络节点定位在智能交通中的应用研究单志龙（主持）.2012.01 ,
　　[4] 广州市珠江科技新星专项、NO.2011J2200083、2011.11-2014.10.无线传感器网络节点位置定位管理研究单志龙（主持）.2011.11 ,
　　联系信息 ,
　　所在单位:华南师范大学计算机学院 计算机网络系 ,
　　联系地址:广州石牌华南师范大学计算机学院（邮编：510631） ,
　　联系邮箱:, ,
　　个人主页:, ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, , "
华南师范大学计算机学院导师介绍：肖应旺,"
　　肖应旺，男，轻工信息技术与工程专业博士，副教授，硕士生导师，国家自然科学基金、省自然科学基金项目评审专家。 ,
　　主要感兴趣的研究方向：人工智能与先进进化算法、智能控制理论与工程、工业过程监控等。 ,
　　在国内外学术期刊和学术会议上发表论文40余篇。所发表的论文中被SCI、EI收录15篇。 ,
　　研究成果获中国石油与化工协会科技进步二等奖1次。作为项目主持人负责国家自然科学基金项目《基于RMKMFDA的间歇过程多元统计监控研究》、广东省自然科学基金项目《基于多元统计方法的过程监控研究》。作为课题组副组长参与科技部“863”项目《高温瓦楞状陶瓷基换热器的开发研究》。 ,
　　作为项目负责人负责横向项目《中石化公司金凌分公司“门式耙料机遥测遥控系统”》上位机监控软件部分(该项目获2004年中国石油和化工协会科技进步二等奖)。作为技术负责人之一完成科技部攻关《轻工发酵先进控制与优化软件技术平台》、科技部“863”项目《新型生物饲料关键技术研究与新产品开发》的控制与优化部分。先后参与完成科技部“863”项目子课题《功能基因亚功能片段的制备和质量控制技术平台》、国家自然科学基金项目《功能基因肽分离纯化粒子群算法优化的研究》。 ,
　　主要讲授的本科生课程有：电路分析基础、信号与系统、自动控制原理、EDA原理及应用、PLC原理及应用等。 ,
　　 ,
　　联系信息 ,
　　所在单位:华南师范大学南海校区信息工程与技术系  ,
　　联系地址:广东省佛山市，华南师范大学南海校区，信息工程与技术系(邮编528225） ,
　　联系邮箱:ymy19701030@163.com　　 ,
　　个人主页:,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：杨晋吉,"
　　姓名：杨晋吉 ,
　　系别：计算机科学系 ,
　　职称：教授，硕士生导师 ,
　　学位及授予单位：博士 ,
　　学术特长（主要研究方向）： ,
　　多媒体系统设计、网络协议验证、模型检测技术 ,
　　学术兼职：省市科技项目评审专家 ,
　　科研项目： ,
　　作为主要参加者承担国家自然科学基金3项、国家973项目1项、省自然科学基金项目1项。 主持广东省科技攻 关项目一项、校级科研和教学项目3项。 ,
　　 ,
　　发表论文： ,
　　在国内外期刊发表论文10多篇 ,
　　研究生要求： ,
　　要求学生有合作精神，诚信为本。 愿和更多的志同道合学生一起愉快度过富有挑战性的研究生阶段。 ,
　　获奖情况： ,
　　广东省高等学校“千百十工程”人才培养对象 ,
　　 ,
　　电子邮箱：, , ,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：徐清振,"
　　徐清振　副教授 ,
　　华南师范大学计算机学院 计算机应用系 ,
　　研究领域：程序化交易量化投资,IT金融,虚拟手术 ,
　　1588 ,
　　 ,
　　首页经历论文著作项目专利教学荣誉学术活动其他联系方式 ,
　　主讲课程：面向对象的程序设计、期货投资分析、程序化交易、图像处理 ,
　　主要研究：1.量化投资，全自动程序化交易；2.虚拟手术，智能手术机器人； ,
　　 ,
　　 ,
　　主要荣誉 ,
　　[1] 2012.01广东省科学技术奖 ,
　　代表项目 ,
　　[1] 国家高技术研究发展（863）计划.腹部脏器64排CT扫描数据三维重建及仿真手术研究鲍苏苏、徐清振等.2006.12 ,
　　联系信息 ,
　　所在单位:华南师范大学计算机学院 计算机应用系 ,
　　联系地址:华南师范大学计算机学院 ,
　　联系邮箱:, ,
　　个人主页:, 　,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, , , "
华南师范大学计算机学院导师介绍：王立斌,"
　　姓名：王立斌 ,
　　系别：计算机网络系 ,
　　职称：副教授 ,
　　学位及授予单位：博士，博士后 ,
　　 ,
　　学术特长（主要研究方向）： ,
　　安全模型、安全协议、进程演算、类型系统与安全 ,
　　一般地，以计算（Computation）为根本的信息安全 ,
　　 ,
　　学术活动（教学经历）： ,
　　 ,
　　 ,
　　主讲课程： ,
　　计算机安全学、网络安全、形式化方法 ,
　　 ,
　　科研项目： ,
　　1．普适计算下的访问控制模型（广东省信息安全重点实验室开放项目） ,
　　2．基于安全微支付技术的RFID计算环境安全认证方案的研究（广东省自然科学基金，王涛老师主持） ,
　　发表论文： ,
　　Commentsonatheoremongridaccesscontrol.FGCS2006. ,
　　基于类型系统的完整性信息流控制.华南师范大学学报.2006年第3期 ,
　　一种安全高效的RFID认证协议.计算机应用.2008年 ,
　　 ,
　　电子邮箱：, ,
　　办公电话：13450223027 ,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）, , , "
华南师范大学计算机学院导师介绍：张金区,"
　　张金区:男，1980年1月出生，祖籍山东，华南师范大学计算机学院副教授。2006年博士毕业于中国科学院研究生院,同时获得“优秀毕业生”荣誉称号。后在华南师范大学计算机学院任教，2008年入选广东省“千百十人才工程”计划，2009年荣获“华南师范大学课堂教学质量评价优秀奖”。2009年7月至2011年7月在中国科学院地理科学与资源研究所做博士后研究，合作导师孙九林院士，主要研究方向为空间信息处理与可视化表达方法研究。作为主要人员先后参加了（1）国家发改委和中国科学院重大咨询项目“东南沿海经济发达地区土地资源可持续利用的问题和对策”，负责遥感图像处理与土地覆被变化模拟；（2）广东省“十五”重点科技攻关项目“珠江三角洲20年来土地利用变化的遥感监测及应对策略研究”和广东省自然科学基金“珠江三角洲地区土地利用变化与水体污染的时空关系研究”；（3）中国科学院科学数据库“岩矿地球化学数据库”和“人地系统主题数据库”的建设；（4）参与国家科技基础条件平台“地球系统科学数据共享网”和中国科学院地学信息化科研环境E-Science的建设。作为负责人先后主持了国家863计划项目子课题“基于Flash的空间信息发布与专题可视化表达”和广州市科普项目“人体经络之谜”动漫作品制作。独立开发了新一代的轻量级网络地理信息系统软件，并成功应用于国家信息中心区域经济监测与评价系统、商务部农村流通管理与服务平台和地质环境空间数据的发布与管理中。已发表论文20余篇，其中国际SCI论文4篇，EI论文5篇。 ,
,
　　主讲课程：《高级语言程序设计》、《面向对象程序设计》、《Flash动画制作》、《Maya动作脚本语言编程》 ,
　　 ,
　　代表论文 ,
　　[1]JinquZhang,YunQiangZhu,JuanleWang,JiulinSun,YuyueXu.FlashbasedWebGISSystemanditsApplicationinMonitoringandEvaluatingChinaRegionalDevelopment.InternationalJournalofDigitalContentTechnologyanditsApplications.Volume5,Number5,May2011,285-295(EI检索) ,
　　[2]张金区,诸云强,王卷乐,宋佳,孙九林.面向服务的地学多源数据虚拟整合及其可视化分析.地球信息科学学报,2010,Vol.12(5):page613-619 ,
　　[3]JinquZhang,YunpengWang.StudyoftheRelationshipsbetweentheSpatialExtentofSurfaceUrbanHeatIslandsandUrbanCharacteristicFactorsBasedonLandsatETM+Data.Sensors,2008,11,7453-7468.（SCI） ,
　　[4]JinquZhang,YunpengWang,ZhishiWang,.ChangeAnalysisofLandSurfaceTemperatureBasedonRobustStatisticsintheEstuarineAreaofPearlRiver(China)from1990to2000byLandsatTM/ETM+Data..InternatioanlJournalofRemoteSensing.Vol.28,No.10,,2383–2390,2007（SCI检索） ,
　　联系信息 ,
　　所在单位:华南师范大学计算机学院 计算机应用系 ,
　　联系地址:华南师范大学计算机学院 ,
　　联系邮箱:,　 ,
,
　　个人主页:,　 ,
　　电话：020-85211352-301,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：詹泳,"
　　,：詹泳 ,
　　,：计算机工程系 ,
　　,：副教授 ,
　　,：博士、华中科技大学 ,
　　 ,
　　, ,
　　嵌入式系统、模式识别 ,
　　, ,
　　本科 华中科技大学,
　　硕博 华中科技大学,
　　博后 华中科技大学,
　　2004年出站于华中科技大学计算机科学与技术博士后流动站 ,
　　 ,
　　, ,
　　数字电子技术、嵌入式软件开发与技术、嵌入式操作系统 ,
　　 ,
　　,： ,
　　参与国家自然科学基金项目3项，863攻关项目1项，市攻关项目1项，主持校级项目2项 ,
　　 ,
　　,： ,
　　发表论文10多篇，EI收录3篇，ISTP收录1篇 ,
　　 ,
　　,：, ,
　　,：13450223027,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：张奇支,"
　　张奇支,
,
　　副教授 ,
　　华南师范大学计算机学院 计算机网络系 ,
　　研究领域：网络移动性管理 ,
　　2025 ,
　　首页经历论文著作项目专利教学荣誉学术活动其他联系方式 ,
,
　　,　　当前主要关注于网络移动性管理，包括移动IP协议的性能分析、IP多媒体子系统、3G\4G网络的移动性管理。博士期间主要专注于移动智能网性能分析和优化算法方面研究。 ,
,
　　,　　本科：计算机网络、下一代网络、互联网原理与应用 ,
　　研究生：计算机仿真建模与分析、应用随机过程 ,
　　论文情况： ,
　　第一作者在国内外期刊和会议上发表20余篇论文。近五年本人论文及指导学生发表论文的情况参见学者网“论文”栏(http://www.scholat.com/zhangqizhi#　)　 ,
,
　　, ,
　　1．08年校级课堂教学质量优秀奖 ,
　　2．09年校级观摩课主讲教师 ,
　　3．广东省华南师大校级第五批“千百十工程”培养对象 ,
　　4．10年校级课堂教学质量优秀奖 ,
　　5．11年华南师范大学学生课外科技创新活动优秀指导教师 ,
,
　　, ,
　　我的研究偏理论，希望对我研究方向感兴趣的同学积极联系我。基本要求：勤奋、刻苦、踏实，有一定的数学基础。 ,
　　主用邮箱：,　 ,
　　联系电话：020-85211353-409 ,
　　联系信息 ,
　　所在单位:华南师范大学计算机学院 计算机网络系 ,
　　联系地址:广州市天河区华南师范大学计算机学院510631 ,
　　联系邮箱:未公开 ,
　　个人主页:, ,
　　, 　　 ,
　　电子邮箱：, , ,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
华南师范大学计算机学院导师介绍：陈启买,"  硕士  教授研究领域：数据仓库与数据挖掘 , 高性能数据库技术办公邮箱：,　,
 ,
　　办公地点：个人简介 ,
　　华南师范大学计算机学院教授，硕士生导师 ,
　　华南师范大学图书馆馆长 ,
　　广东省服务计算工程技术研究开发中心研究员 ,
　　华南师范大学信息服务软件技术研究中心研究员 ,
　　华南师范大学计算机学院高性能数据库技术与应用系统研究室主任 ,
　　华南师范大学计算机学院数据库系统与应用研究室主任 ,
　　华南师范大学计算机软件与理论、计算机应用技术专业硕士生导师 ,
　　广东省社会科学情报学会副会长，常务理事 ,
　　广东省图书馆学会常务理事 ,
　　广东省国家保密局技术专家委员会委员 ,
　　中国计算机学会高级会员, ,
　　中国计算机学会青年计算机科技论坛AC委员，副主席 ,
　　广东省计算机学会理事、 ,
,
　　主要研究兴趣： ,
　　1、高性能数据库系统与技术 ,
　　2、数据仓库与数据挖掘 ,
,
　　主要研究特色： ,
　　1、教学业务协同与数据交换技术 ,
　　2、教学数据仓库与数据挖掘技术 ,
　　3、异构数据集成与交换技术 ,
　　4、数据仓库安全技术研究及网络安全态势评估技术 ,
　　5、数据仓库分级安全模型研究 ,
　　6、高性能数据库系统与技术研究 ,
　　  ,
　　联系方式： ,
　　工作单位：华南师范大学计算机学院 ,
　　通讯地址：华南师范大学计算机学院,　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）,
 , "
华南师范大学计算机学院导师介绍：曾碧卿,"
　　曾碧卿，男，计算机应用技术专业博士，教授，硕士生导师。现任华南师范大学南海校区信息工程与技术系主任、书记，是第四届华南师范大学教学名师，是广东省高等学校“千百十工程”第四批第三层次培养对象。 ,
　　主要感兴趣的研究方向：网络计算、分布式处理、并行I/O、云计算等。 ,
　　在国内外学术期刊和学术会议上发表论文30余篇。所发表的论文中被SCI、EI收录19篇，主编、副主编、翻译并公开出版专业教材11部。 ,
　　研究成果获省级科技进步奖三等奖1项、中国有色金属科学技术进步奖二等奖1项。主持广东省自然科学基金项目1项，主持国家“十一五”教育教学研究课题1项，企业的横向开发课题1项，中国高等教育学会教育教学研究项目1项。作为主要研究人员，参加的重要科研项目包括有国家“863”高技术研究计划项目1项，国家自然科学基金项目3项，国家教育部博士点基金项目1项，国家教育部重点研究项目1项，全国教育科学“十五”规划重点课题1项，全国高等教育科学“十五”规划一般研究课题1项，另外还参加过其它多项省部级项目和横向科研课题。 ,
　　主要讲授的本科生课程有：计算机网络、并行计算、计算机体系结构、JSP程序设计、C/C++程序设计。 ,
　　主讲研究生课程有：高等计算机算法。 ,
　　 ,
　　联系信息 ,
　　所在单位:华南师范大学 南海校区信息工程与技术系 ,
　　联系地址:广东省广州市天河区，华景北路111号，1804信箱（510630） ,
,
　　联系邮箱:, ,
 ,　　个人主页:, 　　,
,
,
　　如果发现导师信息存在错误或者偏差，欢迎随时与我们联系，以便进行更新完善。（,）"
